X,Y
-72.13841,20.91778
-102.06484,10.517081
-41.01118,72.11452
-7.7391744,79.24577
-80.39055,-10.454704
-47.081852,72.77959
-30.816265,-11.542436
-10.0748,-9.332593
-73.208626,63.491146
-71.23946,-47.435593
-59.95608,38.902615
-62.2308,42.164837
-3.920928,-15.803583
-49.808064,-51.93918
-74.24024,48.98245
-42.637707,-39.559593
-4.8482237,-25.254593
-49.575512,-23.45616
-27.904148,-17.05091
14.244599,-95.70149
-40.706947,-21.446209
-53.060795,-6.206388
-43.036106,43.17838
-43.898712,-75.71835
-39.424507,-82.82766
-37.1521,-27.5696
-43.642212,-28.157581
-42.990555,43.21708
-38.46261,-27.807114
-53.828487,76.49689
-42.961403,-32.24812
-63.221554,-52.226048
-12.822919,-58.00406
-64.04351,15.262991
-14.537853,-65.63227
-21.335093,-15.573514
-67.363976,-48.255585
-11.5907545,-59.55661
-54.729393,-47.889652
-17.360748,-19.828947
-53.630405,-35.22643
-31.73107,-20.212769
-25.18595,-17.289701
-17.525808,-69.48538
-31.81002,-20.144958
-13.030678,-10.761483
-43.625607,-52.648735
-60.118626,-27.972208
-67.566414,17.020283
-13.124289,-16.465183
-69.9156,-12.621541
-68.467,-20.12283
-18.005676,-13.63131
-76.5087,9.084634
-26.904623,-56.579536
-89.10818,-27.561844
-63.690228,-23.386663
-54.382862,-2.5806491
-67.09542,15.821987
-23.693876,-1.9764102
-58.875988,-22.281687
5.5310597,-70.01787
-70.77588,58.727615
-31.003756,62.79899
-49.66624,44.288322
-51.11673,44.807526
-53.134575,-49.019405
-40.844643,46.08724
-51.385265,-40.273342
-14.907062,64.2791
-56.500237,-43.968933
3.8792453,-72.64715
-33.35768,-13.009682
3.106012,-58.852184
-45.710915,47.799698
-5.8542976,-26.144184
-46.152317,48.169193
-12.156308,-36.26285
37.789856,-62.343395
3.72712,-37.518906
-79.54994,81.161964
2.0483513,-81.07775
7.233298,-29.920004
37.444496,-62.115395
-39.060856,-27.242523
-19.419315,-75.89656
-30.936283,-73.758644
-60.8888,91.22051
-45.518547,76.205666
-83.544174,-6.8766656
-51.809807,-11.440271
-25.20496,-5.979644
1.1940299,23.464386
-29.540781,29.298712
-97.06248,-5.408683
-96.397644,-4.886993
-40.353886,-26.067951
-103.85261,12.330716
-63.436974,-46.6573
6.951381,-71.28115
-47.071514,47.871258
-55.621864,-40.594986
